estadio	ciudad	partido_orden	fecha	nombre_eq_1	nombre_eq_2	goles_eq_1	goles_eq_2
Estadio Azteca	Mexico City	(1)	31 May	Bulgaria	Italy	1	1
Estadio Olímpico Universitario	Mexico City	(4)	2 June	Argentina	South Korea	3	1
Estadio Cuauhtémoc	Puebla	(13)	5 June	Italy	Argentina	1	1
Estadio Olímpico Universitario	Mexico City	(14)	5 June	South Korea	Bulgaria	1	1
Estadio Cuauhtémoc	Puebla	(27)	10 June	South Korea	Italy	2	3
Estadio Olímpico Universitario	Mexico City	(28)	10 June	Argentina	Bulgaria	2	0
Estadio Azteca	Mexico City	(7)	3 June	Belgium	Mexico	1	2
Estadio Nemesio Díez	Toluca	(10)	4 June	Paraguay	Iraq	1	0
Estadio Azteca	Mexico City	(19)	7 June	Mexico	Paraguay	1	1
Estadio Nemesio Díez	Toluca	(22)	8 June	Iraq	Belgium	1	2
Estadio Azteca	Mexico City	(29)	11 June	Iraq	Mexico	0	1
Estadio Nemesio Díez	Toluca	(30)	11 June	Paraguay	Belgium	2	2
Estadio Nou Camp	León	(2)	1 June	Canada	France	0	1
Estadio Sergio León Chavez	Irapuato	(5)	2 June	Soviet Union	Hungary	6	0
Estadio Nou Camp	León	(15)	5 June	France	Soviet Union	1	1
Estadio Sergio León Chavez	Irapuato	(16)	6 June	Hungary	Canada	2	0
Estadio Nou Camp	León	(25)	9 June	Hungary	France	0	3
Estadio Sergio León Chavez	Irapuato	(26)	9 June	Soviet Union	Canada	2	0
Estadio Jalisco	Guadalajara	(3)	1 June	Spain	Brazil	0	1
Estadio Tres de Marzo	Guadalajara	(8)	3 June	Algeria	Northern Ireland	1	1
Estadio Jalisco	Guadalajara	(17)	6 June	Brazil	Algeria	1	0
Estadio Tres de Marzo	Guadalajara	(20)	7 June	Northern Ireland	Spain	1	2
Estadio Jalisco	Guadalajara	(33)	12 June	Northern Ireland	Brazil	0	3
Estadio Tecnológico	Monterrey	(34)	12 June	Algeria	Spain	0	3
Estadio La Corregidora	Querétaro	(11)	4 June	Uruguay	West Germany	1	1
Estadio Neza 86	Nezahualcóyotl	(12)	4 June	Scotland	Denmark	0	1
Estadio La Corregidora	Querétaro	(23)	8 June	West Germany	Scotland	2	1
Estadio Neza 86	Nezahualcóyotl	(24)	8 June	Denmark	Uruguay	6	1
Estadio La Corregidora	Querétaro	(35)	13 June	Denmark	West Germany	2	0
Estadio Neza 86	Nezahualcóyotl	(36)	13 June	Scotland	Uruguay	0	0
Estadio Universitario	Monterrey	(6)	2 June	Morocco	Poland	0	0
Estadio Tecnológico	Monterrey	(9)	3 June	Portugal	England	1	0
Estadio Tecnológico	Monterrey	(18)	6 June	England	Morocco	0	0
Estadio Universitario	Monterrey	(21)	7 June	Poland	Portugal	1	0
Estadio Tres de Marzo	Guadalajara	(31)	11 June	Portugal	Morocco	1	3
Estadio Tecnológico	Monterrey	(32)	11 June	England	Poland	3	0
Stadio Olimpico	Rome	(3)	9 June	Italy	Austria	1	0
Stadio Comunale	Florence	(5)	10 June	United States	Czechoslovakia	1	5
Stadio Olimpico	Rome	(15)	14 June	Italy	United States	1	0
Stadio Comunale	Florence	(17)	15 June	Austria	Czechoslovakia	0	1
Stadio Olimpico	Rome	(29)	19 June	Italy	Czechoslovakia	2	0
Stadio Comunale	Florence	(30)	19 June	Austria	United States	2	1
San Siro	Milan	(1)	8 June	Argentina	Cameroon	0	1
Stadio San Nicola	Bari	(2)	9 June	Soviet Union	Romania	0	2
Stadio San Paolo	Naples	(13)	13 June	Argentina	Soviet Union	2	0
Stadio San Nicola	Bari	(16)	14 June	Cameroon	Romania	2	1
Stadio San Paolo	Naples	(25)	18 June	Argentina	Romania	1	1
Stadio San Nicola	Bari	(26)	18 June	Cameroon	Soviet Union	0	4
Stadio Delle Alpi	Turin	(6)	10 June	Brazil	Sweden	2	1
Stadio Luigi Ferraris	Genoa	(8)	11 June	Costa Rica	Scotland	1	0
Stadio Delle Alpi	Turin	(19)	16 June	Brazil	Costa Rica	1	0
Stadio Luigi Ferraris	Genoa	(20)	16 June	Sweden	Scotland	1	2
Stadio Delle Alpi	Turin	(31)	20 June	Brazil	Scotland	1	0
Stadio Luigi Ferraris	Genoa	(32)	20 June	Sweden	Costa Rica	1	2
Stadio Renato Dall'Ara	Bologna	(4)	9 June	United Arab	Emirates	0	2
San Siro	Milan	(7)	10 June	West Germany	Yugoslavia	4	1
Stadio Renato Dall'Ara	Bologna	(14)	14 June	Yugoslavia	Colombia	1	0
San Siro	Milan	(18)	15 June	West Germany	United Arab	5	1
San Siro	Milan	(27)	19 June	West Germany	Colombia	1	1
Stadio Renato Dall'Ara	Bologna	(28)	19 June	Yugoslavia	United Arab	4	1
Stadio Marc'Antonio Bentegodi	Verona	(10)	12 June	Belgium	South Korea	2	0
Stadio Friuli	Udine	(12)	13 June	Uruguay	Spain	0	0
Stadio Marc'Antonio Bentegodi	Verona	(23)	17 June	Belgium	Uruguay	3	1
Stadio Friuli	Udine	(24)	17 June	South Korea	Spain	1	3
Stadio Marc'Antonio Bentegodi	Verona	(33)	21 June	Belgium	Spain	1	2
Stadio Friuli	Udine	(34)	21 June	South Korea	Uruguay	0	1
Stadio Sant'Elia	Cagliari	(9)	11 June	England	Ireland	1	1
Stadio La Favorita	Palermo	(11)	12 June	Netherlands	Egypt	1	1
Stadio Sant'Elia	Cagliari	(21)	16 June	England	Netherlands	0	0
Stadio La Favorita	Palermo	(22)	17 June	Ireland	Egypt	0	0
Stadio Sant'Elia	Cagliari	(35)	21 June	England	Egypt	1	0
Stadio La Favorita	Palermo	(36)	21 June	Ireland	Netherlands	1	1
Pontiac Silverdome	Pontiac	(3)	18 June	United States	Switzerland	1	1
Rose Bowl	Pasadena	(5)	18 June	Colombia	Romania	1	3
Pontiac Silverdome	Pontiac	(14)	22 June	Romania	Switzerland	1	4
Rose Bowl	Pasadena	(15)	22 June	United States	Colombia	2	1
Rose Bowl	Pasadena	(25)	26 June	United States	Romania	0	1
Stanford Stadium	Stanford	(26)	26 June	Switzerland	Colombia	0	2
Rose Bowl	Pasadena	(8)	19 June	Cameroon	Sweden	2	2
Stanford Stadium	Stanford	(9)	20 June	Brazil	Russia	2	0
Stanford Stadium	Stanford	(19)	24 June	Brazil	Cameroon	3	0
Pontiac Silverdome	Pontiac	(20)	24 June	Sweden	Russia	3	1
Stanford Stadium	Stanford	(31)	28 June	Russia	Cameroon	6	1
Pontiac Silverdome	Pontiac	(32)	28 June	Brazil	Sweden	1	1
Soldier Field	Chicago	(1)	17 June	Germany	Bolivia	1	0
Cotton Bowl	Dallas	(2)	17 June	Spain	South Korea	2	2
Soldier Field	Chicago	(12)	21 June	Germany	Spain	1	1
Foxboro Stadium	Foxborough	(17)	23 June	South Korea	Bolivia	0	0
Soldier Field	Chicago	(27)	27 June	Bolivia	Spain	1	3
Cotton Bowl	Dallas	(28)	27 June	Germany	South Korea	3	2
Foxboro Stadium	Foxborough	(11)	21 June	Argentina	Greece	4	0
Cotton Bowl	Dallas	(13)	21 June	Nigeria	Bulgaria	3	0
Foxboro Stadium	Foxborough	(23)	25 June	Argentina	Nigeria	2	1
Soldier Field	Chicago	(24)	26 June	Greece	Bulgaria	0	4
Foxboro Stadium	Foxborough	(35)	30 June	Greece	Nigeria	0	2
Cotton Bowl	Dallas	(36)	30 June	Argentina	Bulgaria	0	2
Giants Stadium	East Rutherford	(4)	18 June	Italy	Ireland	0	1
RFK Stadium	Washington	(7)	19 June	Norway	Mexico	1	0
Giants Stadium	East Rutherford	(16)	23 June	Italy	Norway	1	0
Citrus Bowl	Orlando	(18)	24 June	Mexico	Ireland	2	1
Giants Stadium	East Rutherford	(29)	28 June	Ireland	Norway	0	0
RFK Stadium	Washington	(30)	28 June	Italy	Mexico	1	1
Citrus Bowl	Orlando	(6)	19 June	Belgium	Morocco	1	0
RFK Stadium	Washington	(10)	20 June	Netherlands	Saudi Arabia	2	1
Citrus Bowl	Orlando	(21)	25 June	Belgium	Netherlands	1	0
Giants Stadium	East Rutherford	(22)	25 June	Saudi Arabia	Morocco	2	1
Citrus Bowl	Orlando	(33)	29 June	Morocco	Netherlands	1	2
RFK Stadium	Washington	(34)	29 June	Belgium	Saudi Arabia	0	1
Stade de France	Saint-Denis	(1)	10 June	Brazil	Scotland	2	1
Stade de la Mosson	Montpellier	(2)	10 June	Morocco	Norway	2	2
Parc Lescure	Bordeaux	(17)	16 June	Scotland	Norway	1	1
Stade de la Beaujoire	Nantes	(18)	16 June	Brazil	Morocco	3	0
Stade Geoffroy-Guichard	Saint-Étienne	(34)	23 June	Scotland	Morocco	0	3
Stade Vélodrome	Marseille	(35)	23 June	Brazil	Norway	1	2
Stade de Toulouse	Toulouse	(3)	11 June	Cameroon	Austria	1	1
Parc Lescure	Bordeaux	(4)	11 June	Italy	Chile	2	2
Stade Geoffroy-Guichard	Saint-Étienne	(19)	17 June	Chile	Austria	1	1
Stade de la Mosson	Montpellier	(20)	17 June	Italy	Cameroon	3	0
Stade de France	Saint-Denis	(33)	23 June	Italy	Austria	2	1
Stade de la Beaujoire	Nantes	(36)	23 June	Chile	Cameroon	1	1
Stade Félix Bollaert	Lens	(5)	12 June	Saudi Arabia	Denmark	0	1
Stade Vélodrome	Marseille	(6)	12 June	France	South Africa	3	0
Stade de France	Saint-Denis	(21)	18 June	France	Saudi Arabia	4	0
Stade de Toulouse	Toulouse	(22)	18 June	South Africa	Denmark	1	1
Stade Gerland	Lyon	(38)	24 June	France	Denmark	2	1
Parc Lescure	Bordeaux	(40)	24 June	South Africa	Saudi Arabia	2	2
Stade de la Mosson	Montpellier	(7)	12 June	Paraguay	Bulgaria	0	0
Stade de la Beaujoire	Nantes	(10)	13 June	Spain	Nigeria	2	3
Parc des Princes	Paris	(23)	19 June	Nigeria	Bulgaria	1	0
Stade Geoffroy-Guichard	Saint-Étienne	(24)	19 June	Spain	Paraguay	0	0
Stade Félix Bollaert	Lens	(37)	24 June	Spain	Bulgaria	6	1
Stade de Toulouse	Toulouse	(39)	24 June	Nigeria	Paraguay	1	3
Stade de France	Saint-Denis	(8)	13 June	Netherlands	Belgium	0	0
Stade Gerland	Lyon	(9)	13 June	South Korea	Mexico	1	3
Stade Vélodrome	Marseille	(25)	20 June	Netherlands	South Korea	5	0
Parc Lescure	Bordeaux	(26)	20 June	Belgium	Mexico	2	2
Parc des Princes	Paris	(41)	25 June	Belgium	South Korea	1	1
Stade Geoffroy-Guichard	Saint-Étienne	(42)	25 June	Netherlands	Mexico	2	2
Stade Geoffroy-Guichard	Saint-Étienne	(12)	14 June	Yugoslavia	Iran	1	0
Parc des Princes	Paris	(14)	15 June	Germany	United States	2	0
Stade Félix Bollaert	Lens	(29)	21 June	Germany	Yugoslavia	2	2
Stade Gerland	Lyon	(30)	21 June	United States	Iran	1	2
Stade de la Mosson	Montpellier	(43)	25 June	Germany	Iran	2	0
Stade de la Beaujoire	Nantes	(44)	25 June	United States	Yugoslavia	0	1
Stade Gerland	Lyon	(15)	15 June	Romania	Colombia	1	0
Stade Vélodrome	Marseille	(16)	15 June	England	Tunisia	2	0
Stade de la Mosson	Montpellier	(31)	22 June	Colombia	Tunisia	1	0
Stade de Toulouse	Toulouse	(32)	22 June	Romania	England	2	1
Stade de France	Saint-Denis	(45)	26 June	Romania	Tunisia	1	1
Stade Félix Bollaert	Lens	(46)	26 June	Colombia	England	0	2
Stade Félix Bollaert	Lens	(11)	14 June	Jamaica	Croatia	1	3
Stade de Toulouse	Toulouse	(13)	14 June	Argentina	Japan	1	0
Stade de la Beaujoire	Nantes	(27)	20 June	Japan	Croatia	0	1
Parc des Princes	Paris	(28)	21 June	Argentina	Jamaica	5	0
Stade Gerland	Lyon	(47)	26 June	Japan	Jamaica	1	2
Parc Lescure	Bordeaux	(48)	26 June	Argentina	Croatia	1	0
Seoul World Cup Stadium	Seoul	(1)	31 May	France	Senegal	0	1
Munsu Cup Stadium	Ulsan	(3)	1 June	Uruguay	Denmark	1	2
Asiad Main Stadium	Busan	(18)	6 June	France	Uruguay	0	0
Daegu World Cup Stadium	Daegu	(19)	6 June	Denmark	Senegal	1	1
Incheon Munhak Stadium	Incheon	(33)	11 June	Denmark	France	2	0
Suwon World Cup Stadium	Suwon	(34)	11 June	Senegal	Uruguay	3	3
Asiad Main Stadium	Busan	(6)	2 June	Paraguay	South Africa	2	2
Gwangju World Cup Stadium	Gwangju	(8)	2 June	Spain	Slovenia	3	1
Jeonju World Cup Stadium	Jeonju	(22)	7 June	Spain	Paraguay	3	1
Daegu World Cup Stadium	Daegu	(24)	8 June	South Africa	Slovenia	1	0
Daejeon World Cup Stadium	Daejeon	(39)	12 June	South Africa	Spain	2	3
Jeju World Cup Stadium	Jeju	(40)	12 June	Slovenia	Paraguay	1	3
Munsu Cup Stadium	Ulsan	(10)	3 June	Brazil	Turkey	2	1
Gwangju World Cup Stadium	Gwangju	(12)	4 June	China	Costa Rica	0	2
Jeju World Cup Stadium	Jeju	(26)	8 June	Brazil	China	4	0
Incheon Munhak Stadium	Incheon	(28)	9 June	Costa Rica	Turkey	1	1
Suwon World Cup Stadium	Suwon	(41)	13 June	Costa Rica	Brazil	2	5
Seoul World Cup Stadium	Seoul	(42)	13 June	Turkey	China	3	0
Asiad Main Stadium	Busan	(14)	4 June	South Korea	Poland	2	0
Suwon World Cup Stadium	Suwon	(16)	5 June	United States	Portugal	3	2
Daegu World Cup Stadium	Daegu	(30)	10 June	South Korea	United States	1	1
Jeonju World Cup Stadium	Jeonju	(32)	10 June	Portugal	Poland	4	0
Incheon Munhak Stadium	Incheon	(47)	14 June	Portugal	South Korea	0	1
Daejeon World Cup Stadium	Daejeon	(48)	14 June	Poland	United States	3	1
Niigata Stadium	Niigata	(2)	1 June	Ireland	Cameroon	1	1
Sapporo Dome	Sapporo	(4)	1 June	Germany	Saudi Arabia	8	0
Kashima Soccer Stadium	Ibaraki	(17)	5 June	Germany	Republic of	1	1
Saitama Stadium	Saitama	(19)	6 June	Cameroon	Saudi Arabia	1	0
Shizuoka Stadium	Shizuoka	(35)	11 June	Cameroon	Germany	0	2
International Stadium Yokohama	Yokohama	(36)	11 June	Saudi Arabia	Ireland	0	3
Saitama Stadium	Saitama	(5)	2 June	England	Sweden	1	1
Kashima Soccer Stadium	Ibaraki	(7)	2 June	Argentina	Nigeria	1	0
Kobe Wing Stadium	Kobe	(21)	7 June	Sweden	Nigeria	2	1
Sapporo Dome	Sapporo	(23)	7 June	Argentina	England	0	1
Miyagi Stadium	Miyagi	(37)	12 June	Sweden	Argentina	1	1
Nagai Stadium	Osaka	(38)	12 June	Nigeria	England	0	0
Niigata Stadium	Niigata	(9)	3 June	Croatia	Mexico	0	1
Sapporo Dome	Sapporo	(11)	3 June	Italy	Ecuador	2	0
Kashima Soccer Stadium	Ibaraki	(25)	8 June	Italy	Croatia	1	2
Miyagi Stadium	Miyagi	(27)	9 June	Mexico	Ecuador	2	1
Ōita Stadium	Ōita	(43)	13 June	Mexico	Italy	1	1
International Stadium Yokohama	Yokohama	(44)	13 June	Ecuador	Croatia	1	0
Saitama Stadium	Saitama	(13)	4 June	Japan	Belgium	2	2
Kobe Wing Stadium	Kobe	(15)	5 June	Russia	Tunisia	2	0
International Stadium Yokohama	Yokohama	(29)	9 June	Japan	Russia	1	0
Ōita Stadium	Ōita	(31)	10 June	Tunisia	Belgium	1	1
Nagai Stadium	Osaka	(45)	14 June	Tunisia	Japan	0	2
Shizuoka Stadium	Shizuoka	(46)	14 June	Belgium	Russia	3	2
Allianz Arena	München	(1)	Fri Jun/9	Germany	Costa Rica	4	2
Veltins-Arena	Gelsenkirchen	(2)	Fri Jun/9	Poland	Ecuador	0	2
Signal Iduna Park	Dortmund	(17)	Wed Jun/14	Germany	Poland	1	0
AOL Arena	Hamburg	(18)	Thu Jun/15	Ecuador	Costa Rica	3	0
Olympiastadion	Berlin	(33)	Tue Jun/20	Ecuador	Germany	0	3
AWD-Arena	Hannover	(34)	Tue Jun/20	Costa Rica	Poland	1	2
Commerzbank-Arena	Frankfurt	(3)	Sat Jun/10	England	Paraguay	1	0
Signal Iduna Park	Dortmund	(4)	Sat Jun/10	Trinidad and	Tobago	0	0
Frankenstadion	Nürnberg	(19)	Thu Jun/15	England	Trinidad and	2	0
Olympiastadion	Berlin	(20)	Thu Jun/15	Sweden	Paraguay	1	0
RheinEnergieStadion	Köln	(35)	Tue Jun/20	Sweden	England	2	2
Fritz-Walter-Stadion	Kaiserslautern	(36)	Tue Jun/20	Paraguay	Trinidad and	2	0
AOL Arena	Hamburg	(5)	Sat Jun/10	Argentina	Côte dIvoire	2	1
Zentralstadion	Leipzig	(6)	Sun Jun/11	Serbia and	Montenegro	0	1
Veltins-Arena	Gelsenkirchen	(21)	Fri Jun/16	Argentina	Serbia and	6	0
Gottlieb-Daimler-Stadion	Stuttgart	(22)	Fri Jun/16	Netherlands	Côte dIvoire	2	1
Commerzbank-Arena	Frankfurt	(37)	Wed Jun/21	Netherlands	Argentina	0	0
Allianz Arena	München	(38)	Wed Jun/21	Côte dIvoire	Serbia and	3	2
Frankenstadion	Nürnberg	(7)	Sun Jun/11	Mexico	Iran	3	1
RheinEnergieStadion	Köln	(8)	Sun Jun/11	Angola	Portugal	0	1
AWD-Arena	Hannover	(23)	Fri Jun/16	Mexico	Angola	0	0
Commerzbank-Arena	Frankfurt	(24)	Sat Jun/17	Portugal	Iran	2	0
Veltins-Arena	Gelsenkirchen	(39)	Wed Jun/21	Portugal	Mexico	2	1
Zentralstadion	Leipzig	(40)	Wed Jun/21	Iran	Angola	1	1
AWD-Arena	Hannover	(9)	Mon Jun/12	Italy	Ghana	2	0
Veltins-Arena	Gelsenkirchen	(10)	Mon Jun/12	United States	Czech Republic	0	3
Fritz-Walter-Stadion	Kaiserslautern	(25)	Sat Jun/17	Italy	United States	1	1
RheinEnergieStadion	Köln	(26)	Sat Jun/17	Czech Republic	Ghana	0	2
AOL Arena	Hamburg	(41)	Thu Jun/22	Czech Republic	Italy	0	2
Frankenstadion	Nürnberg	(42)	Thu Jun/22	Ghana	United States	2	1
Olympiastadion	Berlin	(11)	Tue Jun/13	Brazil	Croatia	1	0
Fritz-Walter-Stadion	Kaiserslautern	(12)	Mon Jun/12	Australia	Japan	3	1
Allianz Arena	München	(27)	Sun Jun/18	Brazil	Australia	2	0
Frankenstadion	Nürnberg	(28)	Sun Jun/18	Japan	Croatia	0	0
Signal Iduna Park	Dortmund	(43)	Thu Jun/22	Japan	Brazil	1	4
Gottlieb-Daimler-Stadion	Stuttgart	(44)	Thu Jun/22	Croatia	Australia	2	2
Gottlieb-Daimler-Stadion	Stuttgart	(13)	Tue Jun/13	France	Switzerland	0	0
Commerzbank-Arena	Frankfurt	(14)	Tue Jun/13	South Korea	Togo	2	1
Zentralstadion	Leipzig	(29)	Sun Jun/18	France	South Korea	1	1
Signal Iduna Park	Dortmund	(30)	Mon Jun/19	Togo	Switzerland	0	2
RheinEnergieStadion	Köln	(45)	Fri Jun/23	Togo	France	0	2
AWD-Arena	Hannover	(46)	Fri Jun/23	Switzerland	South Korea	2	0
Zentralstadion	Leipzig	(15)	Wed Jun/14	Spain	Ukraine	4	0
Allianz Arena	München	(16)	Wed Jun/14	Tunisia	Saudi Arabia	2	2
Gottlieb-Daimler-Stadion	Stuttgart	(31)	Mon Jun/19	Spain	Tunisia	3	1
AOL Arena	Hamburg	(32)	Mon Jun/19	Saudi Arabia	Ukraine	0	4
Fritz-Walter-Stadion	Kaiserslautern	(47)	Fri Jun/23	Saudi Arabia	Spain	0	1
Olympiastadion	Berlin	(48)	Fri Jun/23	Ukraine	Tunisia	1	0
Soccer City	Johannesburg	(1)	Fri Jun/11 16:00	South Africa	Mexico	1	1
Cape Town Stadium	Cape Town	(2)	Fri Jun/11 20:30	Uruguay	France	0	0
Loftus Versfeld Stadium	Pretoria	(17)	Wed Jun/16 20:30	South Africa	Uruguay	0	3
Peter Mokaba Stadium	Polokwane	(18)	Thu Jun/17 20:30	France	Mexico	0	2
Royal Bafokeng Stadium	Rustenburg	(33)	Tue Jun/22 16:00	Mexico	Uruguay	0	1
Free State Stadium	Bloemfontein	(34)	Tue Jun/22 16:00	France	South Africa	1	2
Nelson Mandela Bay Stadium	Port Elizabeth	(4)	Sat Jun/12 13:30	South Korea	Greece	2	0
Ellis Park Stadium	Johannesburg	(3)	Sat Jun/12 16:00	Argentina	Nigeria	1	0
Soccer City	Johannesburg	(20)	Thu Jun/17 13:30	Argentina	South Korea	4	1
Free State Stadium	Bloemfontein	(19)	Thu Jun/17 16:00	Greece	Nigeria	2	1
Moses Mabhida Stadium	Durban	(35)	Tue Jun/22 20:30	Nigeria	South Korea	2	2
Peter Mokaba Stadium	Polokwane	(36)	Tue Jun/22 20:30	Greece	Argentina	0	2
Royal Bafokeng Stadium	Rustenburg	(5)	Sat Jun/12 20:30	England	United States	1	1
Peter Mokaba Stadium	Polokwane	(6)	Sun Jun/13 13:30	Algeria	Slovenia	0	1
Ellis Park Stadium	Johannesburg	(22)	Fri Jun/18 16:00	Slovenia	United States	2	2
Cape Town Stadium	Cape Town	(23)	Fri Jun/18 20:30	England	Algeria	0	0
Loftus Versfeld Stadium	Pretoria	(38)	Wed Jun/23 16:00	United States	Algeria	1	0
Nelson Mandela Bay Stadium	Port Elizabeth	(37)	Wed Jun/23 16:00	Slovenia	England	0	1
Loftus Versfeld Stadium	Pretoria	(8)	Sun Jun/13 16:00	Serbia	Ghana	0	1
Moses Mabhida Stadium	Durban	(7)	Sun Jun/13 20:30	Germany	Australia	4	0
Nelson Mandela Bay Stadium	Port Elizabeth	(21)	Fri Jun/18 13:30	Germany	Serbia	0	1
Royal Bafokeng Stadium	Rustenburg	(24)	Sat Jun/19 16:00	Ghana	Australia	1	1
Mbombela Stadium	Nelspruit	(40)	Wed Jun/23 20:30	Australia	Serbia	2	1
Soccer City	Johannesburg	(39)	Wed Jun/23 20:30	Ghana	Germany	0	1
Soccer City	Johannesburg	(9)	Mon Jun/14 13:30	Netherlands	Denmark	2	0
Free State Stadium	Bloemfontein	(10)	Mon Jun/14 16:00	Japan	Cameroon	1	0
Moses Mabhida Stadium	Durban	(25)	Sat Jun/19 13:30	Netherlands	Japan	1	0
Loftus Versfeld Stadium	Pretoria	(26)	Sat Jun/19 20:30	Cameroon	Denmark	1	2
Royal Bafokeng Stadium	Rustenburg	(43)	Thu Jun/24 20:30	Denmark	Japan	1	3
Cape Town Stadium	Cape Town	(44)	Thu Jun/24 20:30	Cameroon	Netherlands	1	2
Cape Town Stadium	Cape Town	(11)	Mon Jun/14 20:30	Italy	Paraguay	1	1
Royal Bafokeng Stadium	Rustenburg	(12)	Tue Jun/15 13:30	New Zealand	Slovakia	1	1
Free State Stadium	Bloemfontein	(27)	Sun Jun/20 13:30	Slovakia	Paraguay	0	2
Mbombela Stadium	Nelspruit	(28)	Sun Jun/20 16:00	Italy	New Zealand	1	1
Ellis Park Stadium	Johannesburg	(41)	Thu Jun/24 16:00	Slovakia	Italy	3	2
Peter Mokaba Stadium	Polokwane	(42)	Thu Jun/24 16:00	Paraguay	New Zealand	0	0
Nelson Mandela Bay Stadium	Port Elizabeth	(13)	Tue Jun/15 16:00	Côte dIvoire	Portugal	0	0
Ellis Park Stadium	Johannesburg	(14)	Tue Jun/15 20:30	Brazil	North Korea	2	1
Soccer City	Johannesburg	(29)	Sun Jun/20 20:30	Brazil	Côte dIvoire	3	1
Cape Town Stadium	Cape Town	(30)	Mon Jun/21 13:30	Portugal	North Korea	7	0
Moses Mabhida Stadium	Durban	(45)	Fri Jun/25 16:00	Portugal	Brazil	0	0
Mbombela Stadium	Nelspruit	(46)	Fri Jun/25 16:00	North Korea	Côte dIvoire	0	3
Mbombela Stadium	Nelspruit	(15)	Wed Jun/16 13:30	Honduras	Chile	0	1
Moses Mabhida Stadium	Durban	(16)	Wed Jun/16 16:00	Spain	Switzerland	0	1
Nelson Mandela Bay Stadium	Port Elizabeth	(31)	Mon Jun/21 16:00	Chile	Switzerland	1	0
Ellis Park Stadium	Johannesburg	(32)	Mon Jun/21 20:30	Spain	Honduras	2	0
Loftus Versfeld Stadium	Pretoria	(47)	Fri Jun/25 20:30	Chile	Spain	1	2
Free State Stadium	Bloemfontein	(48)	Fri Jun/25 20:30	Switzerland	Honduras	0	0
Arena de São Paulo	São Paulo (UTC-3)	(1)	Thu Jun/12 17:00	Brazil	Croatia	3	1
Estádio das Dunas	Natal (UTC-3)	(2)	Fri Jun/13 13:00	Mexico	Cameroon	1	0
Estádio Castelão	Fortaleza (UTC-3)	(17)	Tue Jun/17 16:00	Brazil	Mexico	0	0
Arena Amazônia	Manaus (UTC-4)	(18)	Wed Jun/18 18:00	Cameroon	Croatia	0	4
Estádio Nacional Mané Garrincha	Brasília (UTC-3)	(33)	Mon Jun/23 17:00	Cameroon	Brazil	1	4
Arena Pernambuco	Recife (UTC-3)	(34)	Mon Jun/23 17:00	Croatia	Mexico	1	3
Arena Fonte Nova	Salvador (UTC-3)	(3)	Fri Jun/13 16:00	Spain	Netherlands	1	5
Arena Pantanal	Cuiabá (UTC-4)	(4)	Fri Jun/13 18:00	Chile	Australia	3	1
Estádio do Maracanã	Rio de Janeiro (UTC-3)	(19)	Wed Jun/18 16:00	Spain	Chile	0	2
Estádio Beira-Rio	Porto Alegre (UTC-3)	(20)	Wed Jun/18 13:00	Australia	Netherlands	2	3
Arena da Baixada	Curitiba (UTC-3)	(35)	Mon Jun/23 13:00	Australia	Spain	0	3
Arena de São Paulo	São Paulo (UTC-3)	(36)	Mon Jun/23 13:00	Netherlands	Chile	2	0
Estádio Mineirão	Belo Horizonte (UTC-3)	(5)	Sat Jun/14 13:00	Colombia	Greece	3	0
Arena Pernambuco	Recife (UTC-3)	(6)	Sat Jun/14 22:00	Côte dIvoire	Japan	2	1
Estádio Nacional Mané Garrincha	Brasília (UTC-3)	(21)	Thu Jun/19 13:00	Colombia	Côte dIvoire	2	1
Estádio das Dunas	Natal (UTC-3)	(22)	Thu Jun/19 19:00	Japan	Greece	0	0
Arena Pantanal	Cuiabá (UTC-4)	(37)	Tue Jun/24 16:00	Japan	Colombia	1	4
Estádio Castelão	Fortaleza (UTC-3)	(38)	Tue Jun/24 17:00	Greece	Côte dIvoire	2	1
Estádio Castelão	Fortaleza (UTC-3)	(7)	Sat Jun/14 16:00	Uruguay	Costa Rica	1	3
Arena Amazônia	Manaus (UTC-4)	(8)	Sat Jun/14 18:00	England	Italy	1	2
Arena de São Paulo	São Paulo (UTC-3)	(23)	Thu Jun/19 16:00	Uruguay	England	2	1
Arena Pernambuco	Recife (UTC-3)	(24)	Fri Jun/20 13:00	Italy	Costa Rica	0	1
Estádio das Dunas	Natal (UTC-3)	(39)	Tue Jun/24 13:00	Italy	Uruguay	0	1
Estádio Mineirão	Belo Horizonte (UTC-3)	(40)	Tue Jun/24 13:00	Costa Rica	England	0	0
Estádio Nacional Mané Garrincha	Brasília (UTC-3)	(9)	Sun Jun/15 13:00	Switzerland	Ecuador	2	1
Estádio Beira-Rio	Porto Alegre (UTC-3)	(10)	Sun Jun/15 16:00	France	Honduras	3	0
Arena Fonte Nova	Salvador (UTC-3)	(25)	Fri Jun/20 16:00	Switzerland	France	2	5
Arena da Baixada	Curitiba (UTC-3)	(26)	Fri Jun/20 19:00	Honduras	Ecuador	1	2
Arena Amazônia	Manaus (UTC-4)	(41)	Wed Jun/25 16:00	Honduras	Switzerland	0	3
Estádio do Maracanã	Rio de Janeiro (UTC-3)	(42)	Wed Jun/25 17:00	Ecuador	France	0	0
Estádio do Maracanã	Rio de Janeiro (UTC-3)	(11)	Sun Jun/15 19:00	Argentina	BosniaHerzegovina	2	1
