estadio	ciudad	partido_orden	fecha	nombre_eq_1	nombre_eq_2	goles_eq_1	goles_eq_2
Charmilles Stadium	Geneva	(15)	20 June	Turkey	South Korea	7	0
Hardturm Stadium	Zürich	(25)	23 June	West Germany	Turkey	7	2
Wankdorf Stadium	Bern	(1)	16 June	Uruguay	Czechoslovakia	2	0
Hardturm Stadium	Zürich	(2)	16 June	Austria	Scotland	1	0
Hardturm Stadium	Zürich	(9)	19 June	Austria	Czechoslovakia	5	0
St. Jakob Stadium	Basel	(12)	19 June	Uruguay	Scotland	7	0
St. Jakob Stadium	Basel	(6)	17 June	England	Belgium	4	4
Stade Olympique de la Pontaise	Lausanne	(7)	17 June	Switzerland	Italy	2	1
Wankdorf Stadium	Bern	(13)	20 June	England	Switzerland	2	0
Cornaredo Stadium	Lugano	(16)	20 June	Italy	Belgium	4	1
St. Jakob Stadium	Basel	(26)	23 June	Switzerland	Italy	4	1
Stade Olympique de la Pontaise	Lausanne	(19)	26 June	Austria	Switzerland	7	5
St. Jakob Stadium	Basel	(20)	26 June	Uruguay	England	4	2
Charmilles Stadium	Geneva	(17)	27 June	Yugoslavia	West Germany	0	2
Wankdorf Stadium	Bern	(18)	27 June	Brazil	Hungary	2	4
St. Jakob Stadium	Basel	(21)	30 June	West Germany	Austria	6	1
Stade Olympique de la Pontaise	Lausanne	(22)	30 June	Hungary	Uruguay	4	2
Hardturm Stadium	Zürich	(23)	3 July	Uruguay	Austria	1	3
Wankdorf Stadium	Bern	(24)	4 July	Hungary	West Germany	2	3
Malmö Stadion	Malmö	(7)	8 June	West Germany	Argentina	3	1
Örjans Vall	Halmstad	(8)	8 June	Northern Ireland	Czechoslovakia	1	0
Örjans Vall	Halmstad	(15)	11 June	Argentina	Northern Ireland	3	1
Olympiastadion	Helsingborg	(14)	11 June	West Germany	Czechoslovakia	2	2
Malmö Stadion	Malmö	(23)	15 June	West Germany	Northern Ireland	2	2
Olympiastadion	Helsingborg	(24)	15 June	Czechoslovakia	Argentina	6	1
Malmö Stadion	Malmö	(35)	17 June	Northern Ireland	Czechoslovakia	2	1
Idrottsparken	Norrköping	(3)	8 June	France	Paraguay	7	3
Arosvallen	Västerås	(4)	8 June	Yugoslavia	Scotland	1	1
Arosvallen	Västerås	(11)	11 June	Yugoslavia	France	3	2
Idrottsparken	Norrköping	(10)	11 June	Paraguay	Scotland	3	2
Eyravallen	Örebro	(20)	15 June	France	Scotland	2	1
Tunavallen	Eskilstuna	(19)	15 June	Paraguay	Yugoslavia	3	3
Råsunda Stadium	Solna	(1)	8 June	Sweden	Mexico	3	0
Jernvallen	Sandviken	(2)	8 June	Hungary	Wales	1	1
Råsunda Stadium	Solna	(9)	11 June	Mexico	Wales	1	1
Råsunda Stadium	Solna	(16)	12 June	Sweden	Hungary	2	1
Råsunda Stadium	Solna	(17)	15 June	Sweden	Wales	0	0
Jernvallen	Sandviken	(18)	15 June	Hungary	Mexico	4	0
Råsunda Stadium	Solna	(33)	17 June	Wales	Hungary	2	1
Rimnersvallen	Uddevalla	(6)	8 June	Brazil	Austria	3	0
Ullevi	Gothenburg	(5)	8 June	Soviet Union	England	2	2
Ullevi	Gothenburg	(12)	11 June	Brazil	England	0	0
Ryavallen	Borås	(13)	11 June	Soviet Union	Austria	2	0
Ryavallen	Borås	(22)	15 June	England	Austria	2	2
Ullevi	Gothenburg	(21)	15 June	Brazil	Soviet Union	2	0
Ullevi	Gothenburg	(34)	17 June	Soviet Union	England	1	0
Idrottsparken	Norrköping	(26)	19 June	France	Northern Ireland	4	0
Råsunda Stadium	Solna	(25)	19 June	Sweden	Soviet Union	2	0
Ullevi	Gothenburg	(27)	19 June	Brazil	Wales	1	0
Malmö Stadion	Malmö	(28)	19 June	West Germany	Yugoslavia	1	0
Råsunda Stadium	Solna	(29)	24 June	France	Brazil	2	5
Ullevi	Gothenburg	(30)	24 June	West Germany	Sweden	1	3
Ullevi	Gothenburg	(31)	28 June	West Germany	France	3	6
Råsunda Stadium	Solna	(32)	29 June	Sweden	Brazil	2	5
Estadio Carlos Dittborn	Arica	(1)	30 May	Uruguay	Colombia	2	1
Estadio Carlos Dittborn	Arica	(5)	31 May	Soviet Union	Yugoslavia	2	0
Estadio Carlos Dittborn	Arica	(9)	2 June	Yugoslavia	Uruguay	3	1
Estadio Carlos Dittborn	Arica	(13)	3 June	Soviet Union	Colombia	4	4
