(17)  9 July     Uruguay        2-2  Spain           @ Estádio do Pacaembu, São Paulo
(18)  9 July     Brazil         7-1  Sweden          @ Estádio do Maracanã, Rio de Janeiro
(19) 13 July     Brazil         6-1  Spain           @ Estádio do Maracanã, Rio de Janeiro
(20) 13 July     Uruguay        3-2  Sweden          @ Estádio do Pacaembu, São Paulo
(21) 16 July     Sweden         3-1  Spain           @ Estádio do Pacaembu, São Paulo
(22) 16 July     Uruguay        2-1  Brazil          @ Estádio do Maracanã, Rio de Janeiro
(3)  16 June    Brazil       5-0   Mexico    @ Charmilles Stadium, Geneva
(4)  16 June    Yugoslavia   1-0   France    @ Stade Olympique de la Pontaise, Lausanne
(10) 19 June    Brazil     1-1 a.e.t. 1-1  Yugoslavia  @ Stade Olympique de la Pontaise, Lausanne
(11) 19 June    France     3-2             Mexico      @ Charmilles Stadium, Geneva
(5)  17 June    West Germany    4-1   Turkey         @ Wankdorf Stadium, Bern
(8)  17 June    Hungary         9-0   South Korea    @ Hardturm Stadium, Zürich
(14) 20 June    Hungary         8-3   West Germany   @ St. Jakob Stadium, Basel
(15) 20 June    Turkey          7-0   South Korea    @ Charmilles Stadium, Geneva
(25) 23 June    West Germany     7-2  Turkey     @ Hardturm Stadium, Zürich
(1)  16 June    Uruguay          2-0  Czechoslovakia    @ Wankdorf Stadium, Bern
(2)  16 June    Austria          1-0  Scotland          @ Hardturm Stadium, Zürich
(9)  19 June    Austria          5-0  Czechoslovakia    @ Hardturm Stadium, Zürich
(12) 19 June    Uruguay          7-0  Scotland          @ St. Jakob Stadium, Basel
(6)  17 June    England          4-4 a.e.t. 3-3  Belgium    @ St. Jakob Stadium, Basel
(7)  17 June    Switzerland      2-1  Italy                 @ Stade Olympique de la Pontaise, Lausanne
(13) 20 June    England          2-0  Switzerland     @ Wankdorf Stadium, Bern
(16) 20 June    Italy            4-1  Belgium         @ Cornaredo Stadium, Lugano
(26) 23 June    Switzerland      4-1   Italy      @ St. Jakob Stadium, Basel
(19) 26 June    Austria          7-5   Switzerland    @ Stade Olympique de la Pontaise, Lausanne
(20) 26 June    Uruguay          4-2   England        @ St. Jakob Stadium, Basel
(17) 27 June    Yugoslavia       0-2   West Germany   @ Charmilles Stadium, Geneva
(18) 27 June    Brazil           2-4   Hungary        @ Wankdorf Stadium, Bern
(21) 30 June    West Germany     6-1         Austria        @ St. Jakob Stadium, Basel
(22) 30 June    Hungary      4-2 a.e.t. 2-2  Uruguay        @ Stade Olympique de la Pontaise, Lausanne
(23) 3 July     Uruguay         1-3    Austria   @ Hardturm Stadium, Zürich
(24) 4 July     Hungary         2-3    West Germany    @ Wankdorf Stadium, Bern
(7)  8 June     West Germany      3-1  Argentina       @ Malmö Stadion, Malmö
(8)  8 June     Northern Ireland  1-0  Czechoslovakia  @ Örjans Vall, Halmstad
(15) 11 June    Argentina         3-1  Northern Ireland  @ Örjans Vall, Halmstad
(14) 11 June    West Germany      2-2  Czechoslovakia    @ Olympiastadion, Helsingborg
(23) 15 June    West Germany      2-2  Northern Ireland  @ Malmö Stadion, Malmö
(24) 15 June    Czechoslovakia    6-1  Argentina         @ Olympiastadion, Helsingborg
(35) 17 June   Northern Ireland   2-1 a.e.t. 1-1   Czechoslovakia  @ Malmö Stadion, Malmö
(3)   8 June      France       7-3  Paraguay   @ Idrottsparken, Norrköping
(4)   8 June      Yugoslavia   1-1  Scotland   @ Arosvallen, Västerås
(11) 11 June     Yugoslavia   3-2  France     @ Arosvallen, Västerås
(10) 11 June     Paraguay     3-2  Scotland   @ Idrottsparken, Norrköping
(20) 15 June     France       2-1  Scotland     @ Eyravallen, Örebro
(19) 15 June     Paraguay     3-3  Yugoslavia   @ Tunavallen, Eskilstuna
(1)  8 June      Sweden     3-0  Mexico    @ Råsunda Stadium, Solna
(2)  8 June      Hungary    1-1  Wales     @ Jernvallen, Sandviken
(9)  11 June     Mexico     1-1  Wales     @ Råsunda Stadium, Solna
(16) 12 June     Sweden     2-1  Hungary   @ Råsunda Stadium, Solna
(17) 15 June     Sweden     0-0  Wales     @ Råsunda Stadium, Solna
(18) 15 June     Hungary    4-0  Mexico    @ Jernvallen, Sandviken
(33) 17 June     Wales      2-1  Hungary     @ Råsunda Stadium, Solna
(6)  8 June     Brazil         3-0  Austria     @ Rimnersvallen, Uddevalla
(5)  8 June     Soviet Union   2-2  England     @ Ullevi, Gothenburg
(12) 11 June    Brazil        0-0  England    @ Ullevi, Gothenburg
(13) 11 June    Soviet Union  2-0  Austria    @ Ryavallen, Borås
(22) 15 June    England       2-2  Austria        @ Ryavallen, Borås
(21) 15 June    Brazil        2-0  Soviet Union   @ Ullevi, Gothenburg
(34) 17 June    Soviet Union   1-0  England   @ Ullevi, Gothenburg
(26) 19 June   France        4-0   Northern Ireland   @ Idrottsparken, Norrköping
(25) 19 June   Sweden        2-0   Soviet Union       @ Råsunda Stadium, Solna
(27) 19 June   Brazil        1-0   Wales              @ Ullevi, Gothenburg
(28) 19 June   West Germany  1-0   Yugoslavia         @ Malmö Stadion, Malmö
(29) 24 June   France         2-5  Brazil    @ Råsunda Stadium, Solna
(30) 24 June   West Germany   1-3  Sweden    @ Ullevi, Gothenburg
(31) 28 June   West Germany   3-6  France    @ Ullevi, Gothenburg
(32) 29 June   Sweden         2-5  Brazil    @ Råsunda Stadium, Solna
(1)  30 May    Uruguay         2-1  Colombia      @ Estadio Carlos Dittborn, Arica
(5)  31 May    Soviet Union    2-0  Yugoslavia    @ Estadio Carlos Dittborn, Arica
(9)  2 June    Yugoslavia      3-1  Uruguay      @ Estadio Carlos Dittborn, Arica
(13) 3 June    Soviet Union    4-4  Colombia     @ Estadio Carlos Dittborn, Arica
(17) 6 June    Soviet Union    2-1  Uruguay      @ Estadio Carlos Dittborn, Arica
(21) 7 June    Yugoslavia      5-0  Colombia     @ Estadio Carlos Dittborn, Arica
(2)  30 May    Chile           3-1  Switzerland   @ Estadio Nacional, Santiago
(6)  31 May    West Germany    0-0  Italy         @ Estadio Nacional, Santiago
(10)  2 June    Chile           2-0  Italy        @ Estadio Nacional, Santiago
(14)  3 June    West Germany    2-1  Switzerland  @ Estadio Nacional, Santiago
(18)  6 June    West Germany    2-0  Chile         @ Estadio Nacional, Santiago
(22)  7 June    Italy           3-0  Switzerland   @ Estadio Nacional, Santiago
(3)  30 May    Brazil           2-0  Mexico    @ Estadio Sausalito, Viña del Mar
(7)  31 May    Czechoslovakia   1-0  Spain     @ Estadio Sausalito, Viña del Mar
(11)  2 June    Brazil           0-0  Czechoslovakia  @ Estadio Sausalito, Viña del Mar
(15)  3 June    Spain            1-0  Mexico          @ Estadio Sausalito, Viña del Mar
(19)  6 June    Brazil           2-1  Spain            @ Estadio Sausalito, Viña del Mar
(23)  7 June    Mexico           3-1  Czechoslovakia   @ Estadio Sausalito, Viña del Mar
(4)  30 May    Argentina  1-0  Bulgaria    @ Estadio El Teniente, Rancagua
(8)  31 May    Hungary    2-1  England     @ Estadio El Teniente, Rancagua
(12)  2 June    England    3-1  Argentina   @ Estadio El Teniente, Rancagua
(16)  3 June    Hungary    6-1  Bulgaria    @ Estadio El Teniente, Rancagua
(20)  6 June    Hungary    0-0  Argentina   @ Estadio El Teniente, Rancagua
(24)  7 June    England    0-0  Bulgaria    @ Estadio El Teniente, Rancagua
(25) 10 June   Chile           2-1  Soviet Union   @ Estadio Carlos Dittborn, Arica
(26) 10 June   Yugoslavia      1-0  West Germany   @ Estadio Nacional, Santiago
(27) 10 June   Brazil          3-1  England        @ Estadio Sausalito, Viña del Mar
(28) 10 June   Czechoslovakia  1-0  Hungary        @ Estadio El Teniente, Rancagua
