year	host	stadium	city	match_order	date	team_1	team_2	team_1_score	team_2_score
1978	Argentina	Estadio José Maria Minella	Mar del Plata	(6)	1978-06-03	Brazil	Sweden	1	1
1978	Argentina	Estadio José Amalfitani	Buenos Aires	(13)	1978-06-07	Austria	Sweden	1	0
1978	Argentina	Estadio José Maria Minella	Mar del Plata	(14)	1978-06-07	Brazil	Spain	0	0
1978	Argentina	Estadio José Amalfitani	Buenos Aires	(21)	1978-06-11	Spain	Sweden	1	0
1978	Argentina	Estadio José Maria Minella	Mar del Plata	(22)	1978-06-11	Brazil	Austria	1	0
1978	Argentina	Estadio Chateau Carreras	Córdoba	(7)	1978-06-03	Peru	Scotland	3	1
1978	Argentina	Estadio Ciudad de Mendoza	Mendoza	(8)	1978-06-03	Netherlands	Iran	3	0
1978	Argentina	Estadio Chateau Carreras	Córdoba	(15)	1978-06-07	Scotland	Iran	1	1
1978	Argentina	Estadio Ciudad de Mendoza	Mendoza	(16)	1978-06-07	Netherlands	Peru	0	0
1978	Argentina	Estadio Chateau Carreras	Córdoba	(23)	1978-06-11	Peru	Iran	4	1
1978	Argentina	Estadio Ciudad de Mendoza	Mendoza	(24)	1978-06-11	Scotland	Netherlands	3	2
1978	Argentina	Estadio Monumental	Buenos Aires	(25)	1978-06-14	Italy	West Germany	0	0
1978	Argentina	Estadio Chateau Carreras	Córdoba	(27)	1978-06-14	Austria	Netherlands	1	5
1978	Argentina	Estadio Monumental	Buenos Aires	(29)	1978-06-18	Italy	Austria	1	0
1978	Argentina	Estadio Chateau Carreras	Córdoba	(31)	1978-06-18	Netherlands	West Germany	2	2
1978	Argentina	Estadio Monumental	Buenos Aires	(33)	1978-06-21	Italy	Netherlands	1	2
1978	Argentina	Estadio Chateau Carreras	Córdoba	(35)	1978-06-21	Austria	West Germany	3	2
1978	Argentina	Estadio Gigante de Arroyito	Rosario	(26)	1978-06-14	Argentina	Poland	2	0
1978	Argentina	Estadio Ciudad de Mendoza	Mendoza	(28)	1978-06-14	Peru	Brazil	0	3
1978	Argentina	Estadio Gigante de Arroyito	Rosario	(30)	1978-06-18	Argentina	Brazil	0	0
1978	Argentina	Estadio Ciudad de Mendoza	Mendoza	(32)	1978-06-18	Peru	Poland	0	1
1978	Argentina	Estadio Gigante de Arroyito	Rosario	(34)	1978-06-21	Argentina	Peru	6	0
1978	Argentina	Estadio Ciudad de Mendoza	Mendoza	(36)	1978-06-21	Poland	Brazil	1	3
1978	Argentina	Estadio Monumental	Buenos Aires	(37)	1978-06-24	Brazil	Italy	2	1
1978	Argentina	Estadio Monumental	Buenos Aires	(38)	1978-06-25	Netherlands	Argentina	1	3
1982	Spain	Balaídos	Vigo	(2)	1982-06-14	Italy	Poland	0	0
1982	Spain	Estadio de Riazor	A Coruña	(4)	1982-06-15	Peru	Cameroon	0	0
1982	Spain	Balaídos	Vigo	(13)	1982-06-18	Italy	Peru	1	1
1982	Spain	Estadio de Riazor	A Coruña	(16)	1982-06-19	Poland	Cameroon	0	0
1982	Spain	Estadio de Riazor	A Coruña	(25)	1982-06-22	Poland	Peru	5	1
1982	Spain	Balaídos	Vigo	(28)	1982-06-23	Italy	Cameroon	1	1
1982	Spain	El Molinón	Gijón	(7)	1982-06-16	West Germany	Algeria	1	2
1982	Spain	Estadio Carlos Tartiere	Oviedo	(10)	1982-06-17	Chile	Austria	0	1
1982	Spain	El Molinón	Gijón	(19)	1982-06-20	West Germany	Chile	4	1
1982	Spain	Estadio Carlos Tartiere	Oviedo	(22)	1982-06-21	Algeria	Austria	0	2
1982	Spain	Estadio Carlos Tartiere	Oviedo	(31)	1982-06-24	Algeria	Chile	3	2
1982	Spain	El Molinón	Gijón	(34)	1982-06-25	West Germany	Austria	1	0
1982	Spain	Camp Nou	Barcelona	(1)	1982-06-13	Argentina	Belgium	0	1
1982	Spain	Nuevo Estadio	Elche	(5)	1982-06-15	Hungary	El Salvador	10	1
1982	Spain	Estadio José Rico Pérez	Alicante	(14)	1982-06-18	Argentina	Hungary	4	1
1982	Spain	Nuevo Estadio	Elche	(17)	1982-06-19	Belgium	El Salvador	1	0
1982	Spain	Nuevo Estadio	Elche	(26)	1982-06-22	Belgium	Hungary	1	1
1982	Spain	Estadio José Rico Pérez	Alicante	(29)	1982-06-23	Argentina	El Salvador	2	0
1982	Spain	Estadio San Mamés	Bilbao	(8)	1982-06-16	England	France	3	1
1982	Spain	Estadio José Zorrilla	Valladolid	(11)	1982-06-17	Czechoslovakia	Kuwait	1	1
1982	Spain	Estadio San Mamés	Bilbao	(20)	1982-06-20	England	Czechoslovakia	2	0
1982	Spain	Estadio José Zorrilla	Valladolid	(23)	1982-06-21	France	Kuwait	4	1
1982	Spain	Estadio José Zorrilla	Valladolid	(32)	1982-06-24	France	Czechoslovakia	1	1
1982	Spain	Estadio San Mamés	Bilbao	(35)	1982-06-25	England	Kuwait	1	0
1982	Spain	Estadio Luis Casanova	Valencia	(9)	1982-06-16	Spain	Honduras	1	1
1982	Spain	La Romareda	Zaragoza	(12)	1982-06-17	Yugoslavia	Northern Ireland	0	0
1982	Spain	Estadio Luis Casanova	Valencia	(21)	1982-06-20	Spain	Yugoslavia	2	1
1982	Spain	La Romareda	Zaragoza	(24)	1982-06-21	Honduras	Northern Ireland	1	1
1982	Spain	La Romareda	Zaragoza	(33)	1982-06-24	Honduras	Yugoslavia	0	1
1982	Spain	Estadio Luis Casanova	Valencia	(36)	1982-06-25	Spain	Northern Ireland	0	1
1982	Spain	Estadio Ramón Sánchez Pizjuán	Seville	(3)	1982-06-14	Brazil	Soviet Union	2	1
1982	Spain	Estadio La Rosaleda	Málaga	(6)	1982-06-15	Scotland	New Zealand	5	2
1982	Spain	Estadio Benito Villamarín	Seville	(15)	1982-06-18	Brazil	Scotland	4	1
1982	Spain	Estadio La Rosaleda	Málaga	(18)	1982-06-19	Soviet Union	New Zealand	3	0
1982	Spain	Estadio La Rosaleda	Málaga	(27)	1982-06-22	Soviet Union	Scotland	2	2
1982	Spain	Estadio Benito Villamarín	Seville	(30)	1982-06-23	Brazil	New Zealand	4	0
1982	Spain	Camp Nou	Barcelona	(38)	1982-06-28	Poland	Belgium	3	0
1982	Spain	Camp Nou	Barcelona	(42)	1982-07-01	Belgium	Soviet Union	0	1
1982	Spain	Camp Nou	Barcelona	(46)	1982-07-04	Soviet Union	Poland	0	0
1982	Spain	Estadio Santiago Bernabéu	Madrid	(40)	1982-06-29	West Germany	England	0	0
1982	Spain	Estadio Santiago Bernabéu	Madrid	(44)	1982-07-02	West Germany	Spain	2	1
1982	Spain	Estadio Santiago Bernabéu	Madrid	(48)	1982-07-05	Spain	England	0	0
1982	Spain	Estadio Sarriá	Barcelona	(39)	1982-06-29	Italy	Argentina	2	1
1982	Spain	Estadio Sarriá	Barcelona	(43)	1982-07-02	Argentina	Brazil	1	3
1982	Spain	Estadio Sarriá	Barcelona	(47)	1982-07-05	Italy	Brazil	3	2
1982	Spain	Estadio Vicente Calderón	Madrid	(37)	1982-06-28	Austria	France	0	1
1982	Spain	Estadio Vicente Calderón	Madrid	(41)	1982-07-01	Austria	Northern Ireland	2	2
1982	Spain	Estadio Vicente Calderón	Madrid	(45)	1982-07-04	Northern Ireland	France	1	4
1982	Spain	Camp Nou	Barcelona	(49)	1982-07-08	Poland	Italy	0	2
1982	Spain	Estadio Ramón Sánchez Pizjuán	Seville	(50)	1982-07-08	West Germany	France	5	4
1982	Spain	Estadio José Rico Pérez	Alicante	(51)	1982-07-10	Poland	France	3	2
1982	Spain	Estadio Santiago Bernabéu	NA	(52)	1982-07-11	Italy	West Germany	3	1
1986	Mexico	Estadio Azteca	Mexico City	(1)	1986-05-31	Bulgaria	Italy	1	1
1986	Mexico	Estadio Olímpico Universitario	Mexico City	(4)	1986-06-02	Argentina	South Korea	3	1
1986	Mexico	Estadio Cuauhtémoc	Puebla	(13)	1986-06-05	Italy	Argentina	1	1
1986	Mexico	Estadio Olímpico Universitario	Mexico City	(14)	1986-06-05	South Korea	Bulgaria	1	1
1986	Mexico	Estadio Cuauhtémoc	Puebla	(27)	1986-06-10	South Korea	Italy	2	3
1986	Mexico	Estadio Olímpico Universitario	Mexico City	(28)	1986-06-10	Argentina	Bulgaria	2	0
1986	Mexico	Estadio Azteca	Mexico City	(7)	1986-06-03	Belgium	Mexico	1	2
1986	Mexico	Estadio Nemesio Díez	Toluca	(10)	1986-06-04	Paraguay	Iraq	1	0
1986	Mexico	Estadio Azteca	Mexico City	(19)	1986-06-07	Mexico	Paraguay	1	1
1986	Mexico	Estadio Nemesio Díez	Toluca	(22)	1986-06-08	Iraq	Belgium	1	2
1986	Mexico	Estadio Azteca	Mexico City	(29)	1986-06-11	Iraq	Mexico	0	1
1986	Mexico	Estadio Nemesio Díez	Toluca	(30)	1986-06-11	Paraguay	Belgium	2	2
1986	Mexico	Estadio Nou Camp	León	(2)	1986-06-01	Canada	France	0	1
1986	Mexico	Estadio Sergio León Chavez	Irapuato	(5)	1986-06-02	Soviet Union	Hungary	6	0
1986	Mexico	Estadio Nou Camp	León	(15)	1986-06-05	France	Soviet Union	1	1
1986	Mexico	Estadio Sergio León Chavez	Irapuato	(16)	1986-06-06	Hungary	Canada	2	0
1986	Mexico	Estadio Nou Camp	León	(25)	1986-06-09	Hungary	France	0	3
1986	Mexico	Estadio Sergio León Chavez	Irapuato	(26)	1986-06-09	Soviet Union	Canada	2	0
1986	Mexico	Estadio Jalisco	Guadalajara	(3)	1986-06-01	Spain	Brazil	0	1
1986	Mexico	Estadio Tres de Marzo	Guadalajara	(8)	1986-06-03	Algeria	Northern Ireland	1	1
1986	Mexico	Estadio Jalisco	Guadalajara	(17)	1986-06-06	Brazil	Algeria	1	0
1986	Mexico	Estadio Tres de Marzo	Guadalajara	(20)	1986-06-07	Northern Ireland	Spain	1	2
1986	Mexico	Estadio Jalisco	Guadalajara	(33)	1986-06-12	Northern Ireland	Brazil	0	3
1986	Mexico	Estadio Tecnológico	Monterrey	(34)	1986-06-12	Algeria	Spain	0	3
1986	Mexico	Estadio La Corregidora	Querétaro	(11)	1986-06-04	Uruguay	West Germany	1	1
1986	Mexico	Estadio Neza 86	Nezahualcóyotl	(12)	1986-06-04	Scotland	Denmark	0	1
1986	Mexico	Estadio La Corregidora	Querétaro	(23)	1986-06-08	West Germany	Scotland	2	1
1986	Mexico	Estadio Neza 86	Nezahualcóyotl	(24)	1986-06-08	Denmark	Uruguay	6	1
1986	Mexico	Estadio La Corregidora	Querétaro	(35)	1986-06-13	Denmark	West Germany	2	0
1986	Mexico	Estadio Neza 86	Nezahualcóyotl	(36)	1986-06-13	Scotland	Uruguay	0	0
1986	Mexico	Estadio Universitario	Monterrey	(6)	1986-06-02	Morocco	Poland	0	0
1986	Mexico	Estadio Tecnológico	Monterrey	(9)	1986-06-03	Portugal	England	1	0
1986	Mexico	Estadio Tecnológico	Monterrey	(18)	1986-06-06	England	Morocco	0	0
1986	Mexico	Estadio Universitario	Monterrey	(21)	1986-06-07	Poland	Portugal	1	0
1986	Mexico	Estadio Tres de Marzo	Guadalajara	(31)	1986-06-11	Portugal	Morocco	1	3
1986	Mexico	Estadio Tecnológico	Monterrey	(32)	1986-06-11	England	Poland	3	0
1990	Italy	Stadio Olimpico	Rome	(3)	1990-06-09	Italy	Austria	1	0
1990	Italy	Stadio Comunale	Florence	(5)	1990-06-10	United States	Czechoslovakia	1	5
1990	Italy	Stadio Olimpico	Rome	(15)	1990-06-14	Italy	United States	1	0
1990	Italy	Stadio Comunale	Florence	(17)	1990-06-15	Austria	Czechoslovakia	0	1
1990	Italy	Stadio Olimpico	Rome	(29)	1990-06-19	Italy	Czechoslovakia	2	0
1990	Italy	Stadio Comunale	Florence	(30)	1990-06-19	Austria	United States	2	1
1990	Italy	San Siro	Milan	(1)	1990-06-08	Argentina	Cameroon	0	1
1990	Italy	Stadio San Nicola	Bari	(2)	1990-06-09	Soviet Union	Romania	0	2
1990	Italy	Stadio San Paolo	Naples	(13)	1990-06-13	Argentina	Soviet Union	2	0
1990	Italy	Stadio San Nicola	Bari	(16)	1990-06-14	Cameroon	Romania	2	1
1990	Italy	Stadio San Paolo	Naples	(25)	1990-06-18	Argentina	Romania	1	1
1990	Italy	Stadio San Nicola	Bari	(26)	1990-06-18	Cameroon	Soviet Union	0	4
1990	Italy	Stadio Delle Alpi	Turin	(6)	1990-06-10	Brazil	Sweden	2	1
1990	Italy	Stadio Luigi Ferraris	Genoa	(8)	1990-06-11	Costa Rica	Scotland	1	0
1990	Italy	Stadio Delle Alpi	Turin	(19)	1990-06-16	Brazil	Costa Rica	1	0
1990	Italy	Stadio Luigi Ferraris	Genoa	(20)	1990-06-16	Sweden	Scotland	1	2
1990	Italy	Stadio Delle Alpi	Turin	(31)	1990-06-20	Brazil	Scotland	1	0
1990	Italy	Stadio Luigi Ferraris	Genoa	(32)	1990-06-20	Sweden	Costa Rica	1	2
1990	Italy	Stadio Renato Dall'Ara	Bologna	(4)	1990-06-09	United Arab Emirates	Colombia	0	2
1990	Italy	San Siro	Milan	(7)	1990-06-10	West Germany	Yugoslavia	4	1
1990	Italy	Stadio Renato Dall'Ara	Bologna	(14)	1990-06-14	Yugoslavia	Colombia	1	0
1990	Italy	San Siro	Milan	(18)	1990-06-15	West Germany	United Arab Emirates	5	1
1990	Italy	San Siro	Milan	(27)	1990-06-19	West Germany	Colombia	1	1
1990	Italy	Stadio Renato Dall'Ara	Bologna	(28)	1990-06-19	Yugoslavia	United Arab Emirates	4	1
1990	Italy	Stadio Marc'Antonio Bentegodi	Verona	(10)	1990-06-12	Belgium	South Korea	2	0
1990	Italy	Stadio Friuli	Udine	(12)	1990-06-13	Uruguay	Spain	0	0
1990	Italy	Stadio Marc'Antonio Bentegodi	Verona	(23)	1990-06-17	Belgium	Uruguay	3	1
1990	Italy	Stadio Friuli	Udine	(24)	1990-06-17	South Korea	Spain	1	3
1990	Italy	Stadio Marc'Antonio Bentegodi	Verona	(33)	1990-06-21	Belgium	Spain	1	2
1990	Italy	Stadio Friuli	Udine	(34)	1990-06-21	South Korea	Uruguay	0	1
1990	Italy	Stadio Sant'Elia	Cagliari	(9)	1990-06-11	England	Ireland	1	1
1990	Italy	Stadio La Favorita	Palermo	(11)	1990-06-12	Netherlands	Egypt	1	1
1990	Italy	Stadio Sant'Elia	Cagliari	(21)	1990-06-16	England	Netherlands	0	0
1990	Italy	Stadio La Favorita	Palermo	(22)	1990-06-17	Ireland	Egypt	0	0
1990	Italy	Stadio Sant'Elia	Cagliari	(35)	1990-06-21	England	Egypt	1	0
1990	Italy	Stadio La Favorita	Palermo	(36)	1990-06-21	Ireland	Netherlands	1	1
1994	United states	Pontiac Silverdome	Pontiac	(3)	1994-06-18	United States	Switzerland	1	1
1994	United states	Rose Bowl	Pasadena	(5)	1994-06-18	Colombia	Romania	1	3
1994	United states	Pontiac Silverdome	Pontiac	(14)	1994-06-22	Romania	Switzerland	1	4
1994	United states	Rose Bowl	Pasadena	(15)	1994-06-22	United States	Colombia	2	1
1994	United states	Rose Bowl	Pasadena	(25)	1994-06-26	United States	Romania	0	1
1994	United states	Stanford Stadium	Stanford	(26)	1994-06-26	Switzerland	Colombia	0	2
1994	United states	Rose Bowl	Pasadena	(8)	1994-06-19	Cameroon	Sweden	2	2
1994	United states	Stanford Stadium	Stanford	(9)	1994-06-20	Brazil	Russia	2	0
1994	United states	Stanford Stadium	Stanford	(19)	1994-06-24	Brazil	Cameroon	3	0
1994	United states	Pontiac Silverdome	Pontiac	(20)	1994-06-24	Sweden	Russia	3	1
1994	United states	Stanford Stadium	Stanford	(31)	1994-06-28	Russia	Cameroon	6	1
1994	United states	Pontiac Silverdome	Pontiac	(32)	1994-06-28	Brazil	Sweden	1	1
1994	United states	Soldier Field	Chicago	(1)	1994-06-17	Germany	Bolivia	1	0
1994	United states	Cotton Bowl	Dallas	(2)	1994-06-17	Spain	South Korea	2	2
1994	United states	Soldier Field	Chicago	(12)	1994-06-21	Germany	Spain	1	1
1994	United states	Foxboro Stadium	Foxborough	(17)	1994-06-23	South Korea	Bolivia	0	0
1994	United states	Soldier Field	Chicago	(27)	1994-06-27	Bolivia	Spain	1	3
1994	United states	Cotton Bowl	Dallas	(28)	1994-06-27	Germany	South Korea	3	2
1994	United states	Foxboro Stadium	Foxborough	(11)	1994-06-21	Argentina	Greece	4	0
1994	United states	Cotton Bowl	Dallas	(13)	1994-06-21	Nigeria	Bulgaria	3	0
1994	United states	Foxboro Stadium	Foxborough	(23)	1994-06-25	Argentina	Nigeria	2	1
1994	United states	Soldier Field	Chicago	(24)	1994-06-26	Greece	Bulgaria	0	4
1994	United states	Foxboro Stadium	Foxborough	(35)	1994-06-30	Greece	Nigeria	0	2
1994	United states	Cotton Bowl	Dallas	(36)	1994-06-30	Argentina	Bulgaria	0	2
1994	United states	Giants Stadium	East Rutherford	(4)	1994-06-18	Italy	Ireland	0	1
1994	United states	RFK Stadium	Washington	(7)	1994-06-19	Norway	Mexico	1	0
1994	United states	Giants Stadium	East Rutherford	(16)	1994-06-23	Italy	Norway	1	0
1994	United states	Citrus Bowl	Orlando	(18)	1994-06-24	Mexico	Ireland	2	1
1994	United states	Giants Stadium	East Rutherford	(29)	1994-06-28	Ireland	Norway	0	0
1994	United states	RFK Stadium	Washington	(30)	1994-06-28	Italy	Mexico	1	1
1994	United states	Citrus Bowl	Orlando	(6)	1994-06-19	Belgium	Morocco	1	0
1994	United states	RFK Stadium	Washington	(10)	1994-06-20	Netherlands	Saudi Arabia	2	1
1994	United states	Citrus Bowl	Orlando	(21)	1994-06-25	Belgium	Netherlands	1	0
1994	United states	Giants Stadium	East Rutherford	(22)	1994-06-25	Saudi Arabia	Morocco	2	1
1994	United states	Citrus Bowl	Orlando	(33)	1994-06-29	Morocco	Netherlands	1	2
1994	United states	RFK Stadium	Washington	(34)	1994-06-29	Belgium	Saudi Arabia	0	1
1998	France	Stade de France	Saint-Denis	(1)	1998-06-10	Brazil	Scotland	2	1
1998	France	Stade de la Mosson	Montpellier	(2)	1998-06-10	Morocco	Norway	2	2
1998	France	Parc Lescure	Bordeaux	(17)	1998-06-16	Scotland	Norway	1	1
1998	France	Stade de la Beaujoire	Nantes	(18)	1998-06-16	Brazil	Morocco	3	0
1998	France	Stade Geoffroy-Guichard	Saint-Étienne	(34)	1998-06-23	Scotland	Morocco	0	3
1998	France	Stade Vélodrome	Marseille	(35)	1998-06-23	Brazil	Norway	1	2
1998	France	Stade de Toulouse	Toulouse	(3)	1998-06-11	Cameroon	Austria	1	1
1998	France	Parc Lescure	Bordeaux	(4)	1998-06-11	Italy	Chile	2	2
1998	France	Stade Geoffroy-Guichard	Saint-Étienne	(19)	1998-06-17	Chile	Austria	1	1
1998	France	Stade de la Mosson	Montpellier	(20)	1998-06-17	Italy	Cameroon	3	0
1998	France	Stade de France	Saint-Denis	(33)	1998-06-23	Italy	Austria	2	1
1998	France	Stade de la Beaujoire	Nantes	(36)	1998-06-23	Chile	Cameroon	1	1
1998	France	Stade Félix Bollaert	Lens	(5)	1998-06-12	Saudi Arabia	Denmark	0	1
1998	France	Stade Vélodrome	Marseille	(6)	1998-06-12	France	South Africa	3	0
1998	France	Stade de France	Saint-Denis	(21)	1998-06-18	France	Saudi Arabia	4	0
1998	France	Stade de Toulouse	Toulouse	(22)	1998-06-18	South Africa	Denmark	1	1
1998	France	Stade Gerland	Lyon	(38)	1998-06-24	France	Denmark	2	1
1998	France	Parc Lescure	Bordeaux	(40)	1998-06-24	South Africa	Saudi Arabia	2	2
1998	France	Stade de la Mosson	Montpellier	(7)	1998-06-12	Paraguay	Bulgaria	0	0
1998	France	Stade de la Beaujoire	Nantes	(10)	1998-06-13	Spain	Nigeria	2	3
1998	France	Parc des Princes	Paris	(23)	1998-06-19	Nigeria	Bulgaria	1	0
1998	France	Stade Geoffroy-Guichard	Saint-Étienne	(24)	1998-06-19	Spain	Paraguay	0	0
1998	France	Stade Félix Bollaert	Lens	(37)	1998-06-24	Spain	Bulgaria	6	1
1998	France	Stade de Toulouse	Toulouse	(39)	1998-06-24	Nigeria	Paraguay	1	3
1998	France	Stade de France	Saint-Denis	(8)	1998-06-13	Netherlands	Belgium	0	0
1998	France	Stade Gerland	Lyon	(9)	1998-06-13	South Korea	Mexico	1	3
1998	France	Stade Vélodrome	Marseille	(25)	1998-06-20	Netherlands	South Korea	5	0
1998	France	Parc Lescure	Bordeaux	(26)	1998-06-20	Belgium	Mexico	2	2
1998	France	Parc des Princes	Paris	(41)	1998-06-25	Belgium	South Korea	1	1
1998	France	Stade Geoffroy-Guichard	Saint-Étienne	(42)	1998-06-25	Netherlands	Mexico	2	2
1998	France	Stade Geoffroy-Guichard	Saint-Étienne	(12)	1998-06-14	Yugoslavia	Iran	1	0
1998	France	Parc des Princes	Paris	(14)	1998-06-15	Germany	United States	2	0
1998	France	Stade Félix Bollaert	Lens	(29)	1998-06-21	Germany	Yugoslavia	2	2
1998	France	Stade Gerland	Lyon	(30)	1998-06-21	United States	Iran	1	2
1998	France	Stade de la Mosson	Montpellier	(43)	1998-06-25	Germany	Iran	2	0
1998	France	Stade de la Beaujoire	Nantes	(44)	1998-06-25	United States	Yugoslavia	0	1
1998	France	Stade Gerland	Lyon	(15)	1998-06-15	Romania	Colombia	1	0
1998	France	Stade Vélodrome	Marseille	(16)	1998-06-15	England	Tunisia	2	0
1998	France	Stade de la Mosson	Montpellier	(31)	1998-06-22	Colombia	Tunisia	1	0
1998	France	Stade de Toulouse	Toulouse	(32)	1998-06-22	Romania	England	2	1
1998	France	Stade de France	Saint-Denis	(45)	1998-06-26	Romania	Tunisia	1	1
1998	France	Stade Félix Bollaert	Lens	(46)	1998-06-26	Colombia	England	0	2
1998	France	Stade Félix Bollaert	Lens	(11)	1998-06-14	Jamaica	Croatia	1	3
1998	France	Stade de Toulouse	Toulouse	(13)	1998-06-14	Argentina	Japan	1	0
1998	France	Stade de la Beaujoire	Nantes	(27)	1998-06-20	Japan	Croatia	0	1
1998	France	Parc des Princes	Paris	(28)	1998-06-21	Argentina	Jamaica	5	0
1998	France	Stade Gerland	Lyon	(47)	1998-06-26	Japan	Jamaica	1	2
1998	France	Parc Lescure	Bordeaux	(48)	1998-06-26	Argentina	Croatia	1	0
2002	South Korea and Japan	Seoul World Cup Stadium	Seoul	(1)	2002-05-31	France	Senegal	0	1
2002	South Korea and Japan	Munsu Cup Stadium	Ulsan	(3)	2002-06-01	Uruguay	Denmark	1	2
2002	South Korea and Japan	Asiad Main Stadium	Busan	(18)	2002-06-06	France	Uruguay	0	0
2002	South Korea and Japan	Daegu World Cup Stadium	Daegu	(19)	2002-06-06	Denmark	Senegal	1	1
2002	South Korea and Japan	Incheon Munhak Stadium	Incheon	(33)	2002-06-11	Denmark	France	2	0
2002	South Korea and Japan	Suwon World Cup Stadium	Suwon	(34)	2002-06-11	Senegal	Uruguay	3	3
2002	South Korea and Japan	Asiad Main Stadium	Busan	(6)	2002-06-02	Paraguay	South Africa	2	2
2002	South Korea and Japan	Gwangju World Cup Stadium	Gwangju	(8)	2002-06-02	Spain	Slovenia	3	1
2002	South Korea and Japan	Jeonju World Cup Stadium	Jeonju	(22)	2002-06-07	Spain	Paraguay	3	1
2002	South Korea and Japan	Daegu World Cup Stadium	Daegu	(24)	2002-06-08	South Africa	Slovenia	1	0
2002	South Korea and Japan	Daejeon World Cup Stadium	Daejeon	(39)	2002-06-12	South Africa	Spain	2	3
2002	South Korea and Japan	Jeju World Cup Stadium	Jeju	(40)	2002-06-12	Slovenia	Paraguay	1	3
2002	South Korea and Japan	Munsu Cup Stadium	Ulsan	(10)	2002-06-03	Brazil	Turkey	2	1
2002	South Korea and Japan	Gwangju World Cup Stadium	Gwangju	(12)	2002-06-04	China	Costa Rica	0	2
2002	South Korea and Japan	Jeju World Cup Stadium	Jeju	(26)	2002-06-08	Brazil	China	4	0
2002	South Korea and Japan	Incheon Munhak Stadium	Incheon	(28)	2002-06-09	Costa Rica	Turkey	1	1
2002	South Korea and Japan	Suwon World Cup Stadium	Suwon	(41)	2002-06-13	Costa Rica	Brazil	2	5
2002	South Korea and Japan	Seoul World Cup Stadium	Seoul	(42)	2002-06-13	Turkey	China	3	0
2002	South Korea and Japan	Asiad Main Stadium	Busan	(14)	2002-06-04	South Korea	Poland	2	0
2002	South Korea and Japan	Suwon World Cup Stadium	Suwon	(16)	2002-06-05	United States	Portugal	3	2
2002	South Korea and Japan	Daegu World Cup Stadium	Daegu	(30)	2002-06-10	South Korea	United States	1	1
2002	South Korea and Japan	Jeonju World Cup Stadium	Jeonju	(32)	2002-06-10	Portugal	Poland	4	0
2002	South Korea and Japan	Incheon Munhak Stadium	Incheon	(47)	2002-06-14	Portugal	South Korea	0	1
2002	South Korea and Japan	Daejeon World Cup Stadium	Daejeon	(48)	2002-06-14	Poland	United States	3	1
2002	South Korea and Japan	Niigata Stadium	Niigata	(2)	2002-06-01	Ireland	Cameroon	1	1
2002	South Korea and Japan	Sapporo Dome	Sapporo	(4)	2002-06-01	Germany	Saudi Arabia	8	0
2002	South Korea and Japan	Kashima Soccer Stadium	Ibaraki	(17)	2002-06-05	Germany	Republic of Ireland	1	1
2002	South Korea and Japan	Saitama Stadium	Saitama	(19)	2002-06-06	Cameroon	Saudi Arabia	1	0
2002	South Korea and Japan	Shizuoka Stadium	Shizuoka	(35)	2002-06-11	Cameroon	Germany	0	2
2002	South Korea and Japan	International Stadium Yokohama	Yokohama	(36)	2002-06-11	Saudi Arabia	Ireland	0	3
2002	South Korea and Japan	Saitama Stadium	Saitama	(5)	2002-06-02	England	Sweden	1	1
2002	South Korea and Japan	Kashima Soccer Stadium	Ibaraki	(7)	2002-06-02	Argentina	Nigeria	1	0
2002	South Korea and Japan	Kobe Wing Stadium	Kobe	(21)	2002-06-07	Sweden	Nigeria	2	1
2002	South Korea and Japan	Sapporo Dome	Sapporo	(23)	2002-06-07	Argentina	England	0	1
2002	South Korea and Japan	Miyagi Stadium	Miyagi	(37)	2002-06-12	Sweden	Argentina	1	1
2002	South Korea and Japan	Nagai Stadium	Osaka	(38)	2002-06-12	Nigeria	England	0	0
2002	South Korea and Japan	Niigata Stadium	Niigata	(9)	2002-06-03	Croatia	Mexico	0	1
2002	South Korea and Japan	Sapporo Dome	Sapporo	(11)	2002-06-03	Italy	Ecuador	2	0
2002	South Korea and Japan	Kashima Soccer Stadium	Ibaraki	(25)	2002-06-08	Italy	Croatia	1	2
2002	South Korea and Japan	Miyagi Stadium	Miyagi	(27)	2002-06-09	Mexico	Ecuador	2	1
2002	South Korea and Japan	Ōita Stadium	Ōita	(43)	2002-06-13	Mexico	Italy	1	1
2002	South Korea and Japan	International Stadium Yokohama	Yokohama	(44)	2002-06-13	Ecuador	Croatia	1	0
2002	South Korea and Japan	Saitama Stadium	Saitama	(13)	2002-06-04	Japan	Belgium	2	2
2002	South Korea and Japan	Kobe Wing Stadium	Kobe	(15)	2002-06-05	Russia	Tunisia	2	0
2002	South Korea and Japan	International Stadium Yokohama	Yokohama	(29)	2002-06-09	Japan	Russia	1	0
2002	South Korea and Japan	Ōita Stadium	Ōita	(31)	2002-06-10	Tunisia	Belgium	1	1
2002	South Korea and Japan	Nagai Stadium	Osaka	(45)	2002-06-14	Tunisia	Japan	0	2
2002	South Korea and Japan	Shizuoka Stadium	Shizuoka	(46)	2002-06-14	Belgium	Russia	3	2
2006	Germany	Allianz Arena	München	(1)	2006-06-09	Germany	Costa Rica	4	2
2006	Germany	Veltins-Arena	Gelsenkirchen	(2)	2006-06-09	Poland	Ecuador	0	2
2006	Germany	Signal Iduna Park	Dortmund	(17)	2006-06-14	Germany	Poland	1	0
2006	Germany	AOL Arena	Hamburg	(18)	2006-06-15	Ecuador	Costa Rica	3	0
